Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/web/session/authenticate,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0,2.248766659115919,2.248766659115919,250,300,310,320,430,430,430,430,430,430,430
,Aggregated,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0,2.248766659115919,2.248766659115919,250,300,310,320,430,430,430,430,430,430,430
