Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1740236064,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236065,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236066,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236067,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236068,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236069,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236070,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236071,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236072,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236073,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236074,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236075,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236076,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236077,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236079,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236080,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236081,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236082,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236083,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236084,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236085,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236086,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236087,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
1740236088,10,,Aggregated,1.333333,1.333333,250,300,310,320,430,430,430,430,430,430,430,10,10,200.0,249.55487950210227,125.40908000664786,429.972493002424,290.0
